Crop,Zone,Latitude,Longitude,Temperature,Humidity,Soil_Moisture,Rainfall,Soil_pH
Tomato,Intermediate Zone,7.814889,81.345665,32.2,85.1,58.5,710.3,5.4
Potato,Upcountry,7.128988,80.803215,18.1,54.6,59.8,512.7,5.4
Pepper,Intermediate Zone,7.371834,81.037843,28.4,60.1,62.7,1093.1,5.81
Mango,Upcountry,7.022544,80.824816,31.6,79.6,54.1,734.2,5.92
Pepper,Upcountry,6.685642,80.621995,33.6,67.7,73.5,2077.8,6.99
Cabbage,Upcountry,6.851846,80.788452,25.9,58.8,63.3,1201.9,5.06
Cinnamon,Upcountry,6.951831,80.588555,33.0,92.9,74.9,1425.4,5.04
Maize,Intermediate Zone,8.320796,80.642276,33.5,93.4,71.2,1236.1,5.96
Rubber,Wet Zone,7.261819,80.180306,20.7,75.1,76.2,2240.1,6.43
Papaya,Intermediate Zone,6.242941,80.922511,33.8,56.3,51.1,2693.4,6.85
Coffee,Wet Zone,7.015225,80.642981,23.8,63.2,68.6,2525.3,7.17
Chili,Upcountry,7.139268,80.755671,26.0,85.9,59.0,2254.9,6.99
Chili,Upcountry,7.123004,80.668998,24.0,54.2,54.7,589.9,6.16
Onion,Dry Zone,8.127934,80.929812,27.5,51.4,22.2,2556.5,5.9
Tea,Wet Zone,6.103297,80.426692,30.3,59.7,57.4,713.4,5.13
Potato,Wet Zone,6.750167,80.448762,28.2,82.7,78.6,1790.8,5.81
Pepper,Dry Zone,8.885559,80.906248,25.0,53.5,21.5,2906.6,7.09
Tomato,Wet Zone,7.013559,80.290744,20.8,57.0,35.0,1873.1,6.79
Cabbage,Dry Zone,8.480592,80.919901,33.3,83.2,53.3,2029.3,6.05
Coffee,Wet Zone,6.29637,80.227167,30.1,50.6,27.0,615.0,5.1
Pepper,Dry Zone,9.066382,81.555487,25.6,54.4,49.5,1683.7,5.43
Black Gram,Intermediate Zone,7.084629,80.597757,27.9,78.6,22.7,1436.5,6.56
Coffee,Wet Zone,6.705018,80.827788,28.5,57.3,24.2,2106.0,5.07
Cinnamon,Wet Zone,6.837241,80.928276,27.2,67.5,58.6,1645.6,6.36
Coffee,Dry Zone,9.324394,81.079154,33.4,90.7,31.7,673.4,5.25
Chili,Wet Zone,5.929155,79.913332,28.9,53.2,39.1,2612.2,5.06
Rice,Intermediate Zone,8.036171,80.422782,19.9,81.4,57.7,2693.7,6.84
Carrot,Upcountry,7.062437,80.641017,20.8,83.8,68.4,2976.3,6.03
Rubber,Intermediate Zone,6.930045,81.164619,23.5,91.9,71.5,1572.5,6.88
Onion,Upcountry,7.02818,80.551562,32.4,72.7,69.6,1300.1,7.24
Banana,Intermediate Zone,6.973004,80.016256,32.5,54.1,39.2,2875.2,7.38
Maize,Upcountry,6.901407,80.815919,25.2,63.2,39.7,2181.3,6.88
Papaya,Upcountry,7.054105,80.894809,19.5,72.2,23.5,1873.8,6.1
Rice,Dry Zone,9.163113,81.026373,19.9,56.4,65.7,2045.5,5.25
Tomato,Upcountry,6.558875,80.850485,19.2,87.0,62.4,703.4,5.21
Onion,Upcountry,7.190648,80.687135,23.9,86.6,76.8,2965.0,6.88
Onion,Wet Zone,6.502015,79.900201,30.4,75.1,45.5,2765.9,5.28
Black Gram,Upcountry,6.844838,80.505677,25.5,52.5,27.1,793.8,6.62
Onion,Intermediate Zone,7.865112,80.875053,33.4,66.9,37.1,2671.5,5.56
Sugarcane,Intermediate Zone,8.408056,80.018232,33.5,51.9,73.5,1819.3,7.48
Black Gram,Intermediate Zone,6.184491,80.830781,33.5,73.5,57.8,2239.4,6.14
Pepper,Wet Zone,6.904093,80.501177,32.4,52.0,36.9,2876.0,7.23
Cabbage,Upcountry,6.81896,80.810066,22.4,58.5,47.8,1383.4,6.46
Black Gram,Upcountry,6.554414,80.987197,33.8,81.4,52.2,1273.8,7.03
Cinnamon,Dry Zone,8.554194,80.743925,32.6,87.0,77.0,2314.3,6.53
Papaya,Upcountry,6.79277,80.966364,31.9,52.0,21.6,1441.2,7.03
Rice,Intermediate Zone,8.46819,80.225625,27.5,67.1,78.2,2605.3,7.1
Banana,Upcountry,6.828085,80.70741,22.4,52.5,71.9,2532.3,7.5
Sugarcane,Dry Zone,9.489911,81.333148,30.3,92.5,71.0,1118.4,6.13
Papaya,Wet Zone,6.106655,80.944861,27.7,60.3,60.3,2045.3,5.9
Papaya,Intermediate Zone,6.283894,81.00736,26.3,84.8,51.2,2630.5,6.38
Coconut,Dry Zone,8.182814,81.81498,24.5,56.0,21.7,2387.8,6.55
Rice,Intermediate Zone,7.760199,80.319446,20.2,50.7,41.0,1974.8,5.98
Mango,Upcountry,6.806232,80.952079,23.6,73.1,67.0,1491.4,6.56
Tomato,Dry Zone,9.087091,81.924281,20.4,91.7,49.5,1145.6,6.15
Tomato,Upcountry,7.186023,80.746309,23.3,78.5,34.4,689.7,5.32
Green Gram,Upcountry,6.589632,80.575951,20.2,78.8,30.9,1364.2,7.24
Mango,Dry Zone,7.921885,81.501337,20.8,58.7,22.5,922.3,5.7
Papaya,Dry Zone,7.031031,80.633054,19.9,70.7,32.4,1410.7,6.26
Cabbage,Upcountry,6.983276,80.519656,30.8,78.3,24.9,2683.9,7.3
Tea,Intermediate Zone,6.152695,80.415316,30.9,83.7,31.1,1023.4,5.93
Black Gram,Upcountry,6.839166,80.809127,23.9,70.8,64.8,591.7,5.63
Pepper,Dry Zone,8.640049,81.84281,26.2,73.9,26.4,1618.5,6.33
Banana,Upcountry,6.669729,80.634622,24.0,50.9,39.3,1028.6,5.82
Papaya,Intermediate Zone,6.299405,81.335791,27.5,80.6,67.4,1746.1,5.22
Chili,Dry Zone,8.11132,81.380262,29.9,69.4,27.7,1209.4,5.91
Maize,Wet Zone,6.933468,80.484934,23.7,94.4,56.3,1093.1,5.25
Cabbage,Intermediate Zone,6.382148,80.368937,20.6,58.4,37.1,933.4,7.24
Tea,Wet Zone,6.028374,80.429414,24.6,94.2,26.7,1494.6,7.42
Mango,Upcountry,7.105855,80.908536,22.1,57.7,60.1,2823.4,6.39
Coconut,Wet Zone,6.81458,80.135975,30.3,58.4,39.4,1563.6,6.27
Maize,Dry Zone,7.227229,80.672255,27.8,63.0,54.9,885.9,6.2
Papaya,Dry Zone,8.097768,80.577735,23.4,56.0,23.8,2974.9,5.81
Potato,Dry Zone,8.929623,80.881961,28.9,84.2,55.7,1678.9,6.03
Black Gram,Intermediate Zone,6.872171,81.394294,31.3,93.4,27.5,2327.2,7.35
Mango,Wet Zone,6.189973,79.879796,29.9,75.9,70.5,849.4,6.99
Black Gram,Wet Zone,6.222604,79.996387,20.6,86.7,59.9,1807.7,5.9
Tea,Upcountry,7.11404,80.696223,31.1,69.8,42.6,1656.7,5.75
Rubber,Intermediate Zone,7.869023,80.754081,21.7,90.5,43.0,1858.9,7.27
Tomato,Intermediate Zone,7.560595,80.175347,33.0,78.2,40.1,848.2,6.99
Chili,Upcountry,6.934051,80.766731,32.3,85.5,29.1,1279.3,5.62
Tea,Dry Zone,8.731839,80.550299,27.1,84.3,72.6,1355.2,7.05
Carrot,Upcountry,6.577442,80.923226,20.0,67.9,67.8,874.8,5.57
Chili,Intermediate Zone,7.805631,81.080055,28.3,81.2,52.6,1129.5,5.86
Rubber,Dry Zone,7.044793,81.862676,27.3,68.0,47.7,2868.2,5.38
Green Gram,Intermediate Zone,7.465575,80.758833,27.8,50.8,72.3,2830.3,6.41
Green Gram,Dry Zone,8.589952,81.883749,29.3,56.9,54.6,2016.8,6.06
Carrot,Intermediate Zone,7.841111,81.401551,32.8,70.3,26.8,2962.1,7.1
Cabbage,Dry Zone,6.873988,81.881263,31.9,73.3,55.5,1497.5,5.14
Coffee,Dry Zone,7.505592,81.70428,18.1,65.0,43.9,1843.5,7.3
Rubber,Intermediate Zone,6.865865,80.52043,29.8,70.3,33.5,1631.1,5.35
Carrot,Upcountry,6.623471,80.749184,24.7,91.2,41.7,1951.5,6.58
Pepper,Dry Zone,6.539283,81.495306,20.8,93.2,28.9,1536.6,5.21
Green Gram,Intermediate Zone,8.492186,80.753293,27.5,53.0,65.0,1024.8,7.25
Chili,Wet Zone,6.228223,80.028825,18.6,71.2,53.9,664.3,6.94
Carrot,Wet Zone,6.625262,80.429268,25.1,68.0,53.6,888.1,5.45
Black Gram,Intermediate Zone,8.154464,81.419173,24.0,62.2,58.6,1521.8,5.06
Maize,Upcountry,6.609307,80.857986,28.5,51.2,33.3,1077.7,6.68
Cinnamon,Upcountry,6.513797,80.552054,30.8,58.0,59.2,1095.5,5.25
Maize,Wet Zone,6.289076,80.66672,31.7,87.4,43.8,2170.2,5.51
Cinnamon,Intermediate Zone,6.732869,81.344504,18.2,53.8,32.5,566.3,5.45
Cinnamon,Dry Zone,8.249125,81.132137,32.3,86.8,40.5,1148.6,5.95
Onion,Intermediate Zone,7.475737,80.402095,28.0,68.4,53.1,1590.3,5.74
Black Gram,Dry Zone,9.34536,81.645409,20.2,89.1,49.2,2736.4,7.0
Tomato,Wet Zone,6.580342,79.826963,22.3,74.4,58.0,1144.7,5.35
Rice,Dry Zone,9.004791,81.976603,26.4,57.7,36.3,546.0,7.29
Cabbage,Upcountry,6.582426,80.788258,22.4,74.9,59.1,2574.4,5.52
Rubber,Intermediate Zone,6.02749,80.205328,32.4,89.3,55.8,2001.3,6.66
Cinnamon,Dry Zone,7.026114,81.871618,24.7,67.2,51.1,617.4,5.42
Potato,Dry Zone,8.714101,80.624198,27.7,61.0,43.4,1221.7,5.89
Carrot,Upcountry,7.003332,80.648561,27.1,71.4,59.8,2842.1,6.83
Cabbage,Intermediate Zone,6.537351,80.046775,22.2,76.8,23.1,1740.9,6.49
Tomato,Dry Zone,7.502732,81.656368,19.7,53.4,63.7,1738.7,6.72
Cabbage,Upcountry,6.804379,80.623201,31.1,86.0,61.7,1180.4,6.48
Sugarcane,Dry Zone,7.582922,80.637373,32.7,56.2,77.0,1615.0,5.46
Black Gram,Wet Zone,6.767042,80.847535,29.7,86.3,59.5,2230.7,7.12
Sugarcane,Wet Zone,6.299469,80.38731,21.5,94.4,76.6,598.6,6.76
Rubber,Intermediate Zone,8.313121,80.270863,27.1,91.2,22.0,2243.6,5.74
Tea,Wet Zone,7.379034,80.96527,33.1,71.3,71.7,2611.4,5.8
Cabbage,Upcountry,7.080241,80.518504,27.5,60.4,27.2,692.4,6.74
Mango,Intermediate Zone,6.849687,81.08715,19.0,64.2,52.4,2476.8,5.8
Tomato,Upcountry,6.938124,80.942989,27.9,60.5,21.5,2675.2,5.05
Cinnamon,Wet Zone,7.299523,80.434725,33.0,85.9,79.9,1376.8,6.92
Tea,Intermediate Zone,7.004827,80.719813,28.0,89.3,79.0,2420.7,6.04
Pepper,Intermediate Zone,7.053393,81.106373,21.8,55.0,41.3,1218.1,5.74
Tomato,Wet Zone,6.273772,79.850512,18.3,94.4,45.7,1460.8,6.7
Chili,Intermediate Zone,6.545635,81.424942,30.6,54.0,45.1,2697.8,7.36
Rice,Wet Zone,6.647842,80.536094,20.7,94.6,33.9,2856.8,6.62
Papaya,Upcountry,6.925416,80.756344,21.7,57.9,33.2,966.1,6.95
Rubber,Wet Zone,6.4602,79.869411,33.5,89.8,75.7,2987.3,5.43
Potato,Upcountry,6.777369,80.879119,29.1,56.9,68.9,1061.1,5.56
Cinnamon,Intermediate Zone,7.342436,80.88941,27.3,54.1,72.6,1164.0,5.32
Sugarcane,Dry Zone,9.166244,81.933477,31.8,86.4,59.3,1877.1,5.22
Rubber,Intermediate Zone,7.021133,80.559033,22.2,82.6,49.8,702.6,5.55
Green Gram,Wet Zone,6.993214,79.891357,31.6,72.3,48.8,1981.0,7.06
Papaya,Intermediate Zone,6.869523,81.017024,27.1,62.0,72.7,2493.6,6.65
Coffee,Wet Zone,7.260931,80.840753,29.3,87.7,61.8,2200.4,6.55
Coffee,Intermediate Zone,7.881792,80.237908,32.1,89.2,21.8,2564.5,5.32
Cabbage,Wet Zone,6.43619,80.69221,20.6,86.8,69.9,1768.7,5.02
Cinnamon,Dry Zone,7.361114,81.42539,33.7,78.4,35.6,2085.0,6.35
Papaya,Intermediate Zone,7.949613,80.160471,30.2,74.4,77.8,1354.7,6.58
Mango,Upcountry,7.15242,80.551255,33.0,81.0,24.1,1252.4,6.77
Mango,Upcountry,6.547145,80.791085,23.5,77.9,22.7,2678.8,7.43
Green Gram,Wet Zone,7.450205,80.699582,20.1,84.1,21.5,555.3,5.81
Papaya,Dry Zone,7.96593,81.655611,28.9,70.1,36.4,2992.8,6.07
Cabbage,Intermediate Zone,7.128468,80.245436,30.7,81.2,33.2,706.0,6.7
Maize,Dry Zone,8.463534,80.909889,33.2,56.8,45.9,2859.0,6.05
Green Gram,Upcountry,6.946968,80.698797,22.4,94.3,44.6,2735.2,5.57
Black Gram,Intermediate Zone,6.532762,80.046701,28.4,66.6,71.9,1683.0,7.42
Cabbage,Dry Zone,7.056577,81.802935,30.4,84.7,70.7,2402.6,6.57
Rice,Intermediate Zone,6.328112,80.048789,32.7,77.7,67.8,1703.8,5.29
Cabbage,Wet Zone,6.100297,80.622678,24.9,59.0,49.5,660.5,6.45
Sugarcane,Dry Zone,7.30698,81.696339,23.0,70.5,20.7,681.1,5.98
Cinnamon,Intermediate Zone,7.199847,80.900031,22.7,81.3,71.6,2449.6,5.1
Pepper,Intermediate Zone,7.201267,80.157395,21.9,94.4,28.5,1747.2,6.55
Rice,Intermediate Zone,7.756162,80.839473,18.2,64.7,51.1,719.7,5.88
Cabbage,Wet Zone,5.953125,79.894294,24.4,56.0,54.1,2223.7,7.0
Tea,Wet Zone,6.22024,80.000979,19.7,78.6,62.4,579.0,7.34
Sugarcane,Upcountry,6.53638,80.770648,29.3,89.2,62.8,2504.3,5.85
Cinnamon,Intermediate Zone,8.037063,80.120172,32.3,74.6,69.0,1630.8,6.61
Banana,Dry Zone,8.079208,81.597384,19.3,52.7,34.8,898.9,7.18
Rubber,Dry Zone,7.157642,81.963798,23.4,58.2,67.4,2146.8,6.25
Sugarcane,Dry Zone,8.166091,81.578803,21.7,94.8,78.5,2125.8,5.5
Banana,Intermediate Zone,7.700571,80.108298,18.5,61.6,47.8,2670.7,6.82
Carrot,Wet Zone,7.08833,80.310592,23.5,66.7,79.3,600.3,7.17
Mango,Intermediate Zone,7.446689,80.657923,29.6,71.9,72.4,2751.8,6.05
Coconut,Upcountry,6.693779,80.796175,32.6,59.5,57.4,2078.9,6.83
Tea,Upcountry,6.592097,80.857912,32.5,58.1,34.3,2928.5,5.45
Carrot,Wet Zone,7.267016,80.390733,22.0,89.2,46.7,1787.0,5.9
Chili,Upcountry,6.915066,80.581762,24.3,93.6,35.5,2141.8,5.81
Tomato,Dry Zone,8.820419,80.69631,33.5,70.4,34.2,683.7,5.42
Onion,Wet Zone,6.731638,80.204404,31.3,69.4,34.9,2042.9,6.77
